epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,724.438,1.91863,6.27345,2.75306,0.32649,0.31226,0.22755,0.12232,1.22024,3.15678,1.83082,0.000143123,0.000143123,0.000143123
2,1442.26,1.15859,3.46989,1.67239,0.47911,0.49951,0.48975,0.3348,0.82713,2.30593,1.34327,0.00027225,0.00027225,0.00027225
3,2156.48,0.92572,2.53318,1.38871,0.58138,0.61706,0.60361,0.43938,0.68695,1.84209,1.18251,0.000387238,0.000387238,0.000387238
4,2868.4,0.8095,2.09637,1.25319,0.61465,0.65918,0.67932,0.52253,0.6132,1.58274,1.09308,0.000387635,0.000387635,0.000387635
5,3579.86,0.73784,1.84122,1.17204,0.68227,0.69932,0.7209,0.56795,0.5587,1.42223,1.04364,0.000365179,0.000365179,0.000365179
6,4291.58,0.68635,1.67817,1.11708,0.71329,0.70188,0.73473,0.59065,0.52324,1.35248,1.00597,0.000342724,0.000342724,0.000342724
7,5003.53,0.65438,1.56628,1.08462,0.6924,0.74229,0.75377,0.614,0.50197,1.27307,0.98814,0.000320269,0.000320269,0.000320269
8,5715.95,0.62339,1.47804,1.05612,0.712,0.73775,0.76735,0.63903,0.46321,1.19329,0.9474,0.000297814,0.000297814,0.000297814
9,6429.24,0.60513,1.41515,1.03701,0.75443,0.77623,0.78893,0.66572,0.44215,1.11894,0.92566,0.000275359,0.000275359,0.000275359
10,7143.18,0.58527,1.3448,1.01592,0.73973,0.78331,0.79632,0.67671,0.43008,1.08756,0.91593,0.000252904,0.000252904,0.000252904
11,7838.15,0.51966,1.19498,0.98712,0.75438,0.78884,0.80714,0.68696,0.42692,1.03105,0.91164,0.000230448,0.000230448,0.000230448
12,8530.66,0.5036,1.13596,0.96981,0.76859,0.79543,0.81508,0.70188,0.40918,0.99714,0.89461,0.000207993,0.000207993,0.000207993
13,9223.12,0.4902,1.09354,0.95861,0.78678,0.80807,0.82665,0.71712,0.39948,0.95697,0.88418,0.000185538,0.000185538,0.000185538
14,9916.02,0.48006,1.05486,0.94935,0.80182,0.81681,0.83597,0.72772,0.39447,0.9212,0.8804,0.000163083,0.000163083,0.000163083
15,10608.8,0.47245,1.0183,0.94262,0.80799,0.82538,0.84292,0.73453,0.39167,0.90516,0.8777,0.000140628,0.000140628,0.000140628
16,11300.8,0.46186,0.9904,0.93204,0.81211,0.82798,0.84806,0.7422,0.38404,0.87955,0.86995,0.000118173,0.000118173,0.000118173
17,11992.9,0.45322,0.96253,0.92542,0.81581,0.83859,0.85334,0.75044,0.37525,0.84335,0.86286,9.57174e-05,9.57174e-05,9.57174e-05
18,12684.9,0.44412,0.9358,0.91641,0.81939,0.84764,0.85894,0.75759,0.37047,0.829,0.85857,7.32623e-05,7.32623e-05,7.32623e-05
19,13377.2,0.43882,0.91775,0.91347,0.83113,0.84706,0.86397,0.76348,0.36672,0.81497,0.85494,5.08071e-05,5.08071e-05,5.08071e-05
20,14069.3,0.43249,0.89566,0.90746,0.83136,0.85648,0.86735,0.76812,0.36329,0.80104,0.85151,2.8352e-05,2.8352e-05,2.8352e-05
