epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,456.17,0.82234,1.905,0.75625,0.80124,0.80042,0.82297,0.71151,0.66503,0.9791,0.72335,0.000194665,0.000194665,0.000194665
2,903.084,0.73218,0.99791,0.74182,0.83326,0.83135,0.87505,0.76542,0.62715,0.83529,0.71603,0.000350862,0.000350862,0.000350862
3,1342.41,0.70162,0.86268,0.73686,0.86364,0.84889,0.89738,0.79122,0.60045,0.7646,0.71072,0.00036491,0.00036491,0.00036491
4,1781.31,0.66214,0.75187,0.7268,0.91561,0.90049,0.9422,0.84614,0.55717,0.60645,0.70093,0.000319865,0.000319865,0.000319865
5,2223.51,0.62817,0.66128,0.71854,0.92255,0.89747,0.94595,0.85322,0.54223,0.59076,0.6969,0.00027482,0.00027482,0.00027482
6,2661.72,0.59845,0.59568,0.71103,0.93558,0.91732,0.96187,0.87371,0.51551,0.52582,0.69167,0.000229775,0.000229775,0.000229775
7,3098.96,0.57514,0.54866,0.70708,0.95076,0.93072,0.97158,0.88878,0.4972,0.47877,0.68757,0.00018473,0.00018473,0.00018473
8,3560.74,0.55238,0.50248,0.70124,0.95186,0.93838,0.97356,0.8937,0.48553,0.45473,0.68531,0.000139685,0.000139685,0.000139685
9,4017.9,0.5326,0.4646,0.6973,0.95581,0.93845,0.9755,0.90072,0.46969,0.43476,0.68158,9.464e-05,9.464e-05,9.464e-05
10,4539.92,0.51254,0.43109,0.69345,0.96438,0.94947,0.98009,0.90742,0.46353,0.39857,0.68015,4.9595e-05,4.9595e-05,4.9595e-05
