epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1038.31,1.23066,3.20804,1.7611,0.64401,0.52738,0.57031,0.39968,0.76527,2.19043,1.25901,0.0719596,0.00343737,0.00343737
2,1778.81,0.77455,2.02159,1.249,0.6934,0.66034,0.69227,0.54313,0.57652,1.69621,1.06488,0.0438733,0.00684228,0.00684228
3,2515.67,0.67474,1.71643,1.1402,0.76435,0.67634,0.7455,0.6073,0.50612,1.39051,0.99867,0.015753,0.0102132,0.0102132
4,3248.51,0.63648,1.57023,1.09669,0.766,0.72106,0.77346,0.64437,0.45528,1.27817,0.94496,0.0107583,0.0107583,0.0107583
5,3982.05,0.6062,1.46706,1.06323,0.7282,0.78927,0.79909,0.66851,0.45566,1.16178,0.9297,0.0107044,0.0107044,0.0107044
6,4715.36,0.57997,1.36747,1.03914,0.74012,0.78462,0.80925,0.68501,0.42744,1.1159,0.91418,0.0106505,0.0106505,0.0106505
7,5447.43,0.57362,1.30762,1.03064,0.80317,0.8156,0.84453,0.72963,0.40274,0.98168,0.89063,0.0105966,0.0105966,0.0105966
8,6178.37,0.56108,1.26321,1.0181,0.82956,0.82468,0.86103,0.74842,0.38786,0.92422,0.88352,0.0105428,0.0105428,0.0105428
9,6910.09,0.54884,1.22935,1.00776,0.81922,0.82407,0.85865,0.74952,0.38085,0.99119,0.87626,0.0104889,0.0104889,0.0104889
10,7641.61,0.54288,1.19421,0.99868,0.8476,0.83547,0.88076,0.77157,0.38189,0.85887,0.87146,0.010435,0.010435,0.010435
11,8374.58,0.53144,1.15127,0.98683,0.85134,0.84106,0.88687,0.77586,0.3718,0.86704,0.86508,0.0103811,0.0103811,0.0103811
12,9106.84,0.53572,1.12607,0.98868,0.87463,0.85724,0.90083,0.79885,0.36001,0.78644,0.85652,0.0103272,0.0103272,0.0103272
13,9839.66,0.52121,1.09749,0.97371,0.87459,0.86524,0.90716,0.80675,0.35261,0.76755,0.84632,0.0102733,0.0102733,0.0102733
14,10571.3,0.515,1.05362,0.96676,0.89075,0.86912,0.91505,0.81831,0.34453,0.73028,0.84092,0.0102194,0.0102194,0.0102194
15,11303.7,0.51604,1.05115,0.96538,0.90886,0.87665,0.92617,0.82574,0.34371,0.69411,0.84349,0.0101655,0.0101655,0.0101655
16,12035.9,0.51443,1.0331,0.96233,0.91549,0.88771,0.9348,0.83943,0.3346,0.66802,0.83251,0.0101116,0.0101116,0.0101116
17,12767.8,0.5116,1.01377,0.95565,0.91307,0.89345,0.9349,0.84074,0.33327,0.64435,0.83094,0.0100577,0.0100577,0.0100577
18,13500.6,0.5075,1.00069,0.95413,0.91715,0.89642,0.93903,0.84603,0.32915,0.63634,0.82784,0.0100038,0.0100038,0.0100038
19,14247.4,0.5078,0.99109,0.95249,0.91726,0.90262,0.94397,0.85416,0.32274,0.61752,0.82321,0.00994994,0.00994994,0.00994994
20,14981.6,0.50107,0.9721,0.94576,0.92822,0.91127,0.9522,0.86573,0.31458,0.5914,0.81609,0.00989604,0.00989604,0.00989604
21,-3.15204e+07,0.50376,0.96139,0.94552,0.93371,0.91287,0.95448,0.86573,0.31897,0.57775,0.82049,0.00984215,0.00984215,0.00984215
22,16450.6,0.49352,0.93512,0.93603,0.92979,0.91322,0.95529,0.87121,0.30921,0.56572,0.81205,0.00978826,0.00978826,0.00978826
23,17183.9,0.49339,0.93727,0.93715,0.93425,0.9149,0.95644,0.87263,0.30786,0.55756,0.81212,0.00973437,0.00973437,0.00973437
24,17915.6,0.49469,0.91973,0.93601,0.94002,0.9272,0.96363,0.8807,0.30331,0.52893,0.80885,0.00968048,0.00968048,0.00968048
25,18648.6,0.49269,0.9177,0.93411,0.94744,0.92697,0.96552,0.88391,0.30329,0.52804,0.80767,0.00962658,0.00962658,0.00962658
26,19380.7,0.4842,0.89935,0.92781,0.93985,0.93271,0.96594,0.88568,0.29819,0.52305,0.80497,0.00957269,0.00957269,0.00957269
27,20134.4,0.48596,0.8918,0.92908,0.94859,0.93268,0.96739,0.88908,0.29598,0.51034,0.80221,0.0095188,0.0095188,0.0095188
28,20895.7,0.48338,0.89119,0.926,0.94438,0.93519,0.96929,0.89292,0.29424,0.50492,0.80048,0.00946491,0.00946491,0.00946491
29,21657.1,0.48325,0.87557,0.92462,0.95117,0.93883,0.97175,0.89461,0.29273,0.48732,0.80021,0.00941101,0.00941101,0.00941101
30,22416.9,0.48177,0.87193,0.92349,0.9535,0.93882,0.97292,0.89706,0.2911,0.48352,0.7989,0.00935712,0.00935712,0.00935712
31,23176.1,0.48162,0.86499,0.92344,0.95636,0.9409,0.97419,0.89963,0.28933,0.47944,0.79754,0.00930323,0.00930323,0.00930323
32,23935.4,0.47868,0.85558,0.92004,0.95578,0.94463,0.97528,0.90075,0.28788,0.46973,0.79656,0.00924934,0.00924934,0.00924934
33,24694.8,0.47708,0.84722,0.92029,0.95658,0.94253,0.97606,0.90216,0.28545,0.4644,0.79387,0.00919544,0.00919544,0.00919544
34,25453.3,0.47492,0.84938,0.91888,0.95922,0.94472,0.97676,0.90362,0.28415,0.45625,0.79329,0.00914155,0.00914155,0.00914155
35,26211.9,0.47695,0.83767,0.9188,0.95771,0.94802,0.97783,0.90617,0.28274,0.45238,0.79289,0.00908766,0.00908766,0.00908766
36,26971.4,0.47736,0.84004,0.91789,0.96127,0.94814,0.97876,0.90737,0.28198,0.44836,0.79197,0.00903377,0.00903377,0.00903377
37,27730.4,0.47021,0.82392,0.91379,0.96171,0.94977,0.97945,0.90925,0.28075,0.44356,0.79106,0.00897987,0.00897987,0.00897987
38,28489.1,0.46851,0.81899,0.91412,0.96098,0.95025,0.97951,0.90936,0.28031,0.44339,0.79028,0.00892598,0.00892598,0.00892598
39,29248.2,0.46994,0.81632,0.91354,0.96378,0.95279,0.98086,0.91128,0.27882,0.43397,0.7893,0.00887209,0.00887209,0.00887209
40,30007.1,0.46829,0.80956,0.91177,0.96969,0.95265,0.98196,0.91331,0.27746,0.42665,0.78768,0.0088182,0.0088182,0.0088182
41,30765.7,0.46744,0.79724,0.9126,0.96819,0.95328,0.98215,0.91414,0.27615,0.42268,0.78664,0.0087643,0.0087643,0.0087643
42,31525.2,0.46914,0.80184,0.91312,0.96802,0.95491,0.98253,0.91494,0.27571,0.41964,0.78651,0.00871041,0.00871041,0.00871041
43,32280,0.46188,0.7906,0.90711,0.96764,0.95711,0.98315,0.9157,0.27469,0.41528,0.78593,0.00865652,0.00865652,0.00865652
44,33032.6,0.46518,0.78931,0.90985,0.96975,0.9556,0.9835,0.91731,0.27403,0.41278,0.78553,0.00860263,0.00860263,0.00860263
45,33784.9,0.46371,0.79521,0.90895,0.96818,0.95975,0.98389,0.91746,0.27316,0.40955,0.78522,0.00854874,0.00854874,0.00854874
46,34537.4,0.46336,0.78888,0.90755,0.96926,0.96031,0.98412,0.91775,0.27249,0.40728,0.78459,0.00849484,0.00849484,0.00849484
47,35291.3,0.45732,0.77086,0.90173,0.96772,0.96094,0.98438,0.9183,0.27217,0.406,0.78433,0.00844095,0.00844095,0.00844095
48,36045.5,0.45999,0.78564,0.90721,0.97089,0.95957,0.98464,0.91869,0.27157,0.4042,0.7839,0.00838706,0.00838706,0.00838706
49,36798.8,0.45671,0.7717,0.90253,0.9696,0.96169,0.98495,0.91919,0.27112,0.40158,0.78354,0.00833317,0.00833317,0.00833317
50,37552.1,0.45865,0.7766,0.90355,0.97028,0.96312,0.98524,0.91989,0.27071,0.39995,0.78325,0.00827927,0.00827927,0.00827927
51,38305.3,0.45892,0.78057,0.90471,0.97139,0.96307,0.98554,0.92029,0.27057,0.39873,0.78312,0.00822538,0.00822538,0.00822538
52,39058.8,0.45488,0.75869,0.89993,0.97246,0.96322,0.98566,0.92058,0.27035,0.39757,0.78285,0.00817149,0.00817149,0.00817149
53,39812,0.45197,0.75253,0.90052,0.9716,0.96468,0.98575,0.92109,0.26983,0.3956,0.78245,0.0081176,0.0081176,0.0081176
54,40565.5,0.45293,0.757,0.90037,0.97255,0.96455,0.98595,0.92112,0.26953,0.39386,0.78215,0.0080637,0.0080637,0.0080637
55,41318.3,0.44832,0.7442,0.89535,0.97224,0.96554,0.98618,0.92141,0.26926,0.3924,0.78192,0.00800981,0.00800981,0.00800981
56,42070.7,0.45301,0.75398,0.89995,0.97326,0.96495,0.98638,0.92165,0.26898,0.39115,0.78169,0.00795592,0.00795592,0.00795592
57,42823.5,0.45237,0.75028,0.8984,0.9736,0.96486,0.98644,0.92208,0.26876,0.39028,0.78152,0.00790203,0.00790203,0.00790203
58,43576.6,0.45302,0.75249,0.90138,0.97376,0.96551,0.98653,0.92219,0.26853,0.38959,0.78135,0.00784813,0.00784813,0.00784813
59,44329.3,0.45419,0.75125,0.90026,0.97394,0.96526,0.98668,0.92261,0.26837,0.38889,0.78123,0.00779424,0.00779424,0.00779424
60,45080.9,0.44869,0.74194,0.89589,0.97486,0.96511,0.98676,0.92257,0.26824,0.38789,0.78107,0.00774035,0.00774035,0.00774035
61,45832.3,0.44974,0.73955,0.89624,0.97515,0.96502,0.98688,0.9228,0.26823,0.38748,0.78109,0.00768646,0.00768646,0.00768646
62,46584.1,0.45036,0.74522,0.89863,0.97484,0.96536,0.98696,0.92314,0.26816,0.38696,0.781,0.00763256,0.00763256,0.00763256
63,47335.5,0.44464,0.72888,0.89419,0.97596,0.96471,0.98707,0.92324,0.26801,0.38596,0.78091,0.00757867,0.00757867,0.00757867
64,48088.1,0.44756,0.7386,0.89875,0.97571,0.96542,0.98718,0.92346,0.26796,0.38546,0.78086,0.00752478,0.00752478,0.00752478
65,48842,0.44385,0.72931,0.89398,0.97664,0.96482,0.98732,0.92403,0.2679,0.38463,0.78084,0.00747089,0.00747089,0.00747089
66,49594.1,0.44631,0.72289,0.89629,0.97667,0.96496,0.98744,0.92417,0.26775,0.38349,0.78078,0.007417,0.007417,0.007417
67,50345.3,0.44308,0.72043,0.89296,0.97648,0.96546,0.98751,0.92431,0.26783,0.38276,0.78088,0.0073631,0.0073631,0.0073631
68,51098,0.44176,0.72201,0.89063,0.97656,0.96564,0.9876,0.92423,0.26782,0.38219,0.7809,0.00730921,0.00730921,0.00730921
69,51850.9,0.4443,0.7118,0.89007,0.97689,0.96581,0.98766,0.92426,0.26792,0.38173,0.78101,0.00725532,0.00725532,0.00725532
70,52602.8,0.44438,0.71554,0.89236,0.97741,0.96624,0.98774,0.92452,0.26785,0.38046,0.78091,0.00720143,0.00720143,0.00720143
71,53355.3,0.44451,0.71855,0.89235,0.97763,0.96642,0.98782,0.9249,0.26781,0.3797,0.78089,0.00714753,0.00714753,0.00714753
72,54108.2,0.44177,0.71087,0.89198,0.97755,0.96691,0.98794,0.92538,0.26773,0.3789,0.78086,0.00709364,0.00709364,0.00709364
73,54860.3,0.44039,0.71348,0.88938,0.97709,0.96729,0.98799,0.92538,0.26775,0.37872,0.78087,0.00703975,0.00703975,0.00703975
74,55612.8,0.43742,0.70597,0.88682,0.97791,0.96696,0.98801,0.92553,0.26769,0.37811,0.78077,0.00698586,0.00698586,0.00698586
75,56366.7,0.43958,0.70058,0.88901,0.97755,0.96765,0.98805,0.92545,0.26768,0.3778,0.78068,0.00693196,0.00693196,0.00693196
76,57119,0.43646,0.70026,0.88698,0.97749,0.96752,0.9881,0.92571,0.26776,0.37746,0.78068,0.00687807,0.00687807,0.00687807
77,57871.1,0.43496,0.70213,0.88838,0.97656,0.968,0.98817,0.9257,0.26778,0.37686,0.78064,0.00682418,0.00682418,0.00682418
78,58622.6,0.44288,0.71066,0.89351,0.97669,0.96804,0.98818,0.92576,0.2679,0.37657,0.78062,0.00677029,0.00677029,0.00677029
79,59373.5,0.43516,0.69336,0.88542,0.97731,0.96796,0.98821,0.926,0.26802,0.37616,0.78068,0.00671639,0.00671639,0.00671639
80,60124.6,0.43398,0.69256,0.88358,0.97802,0.96732,0.98824,0.92605,0.26812,0.37574,0.78064,0.0066625,0.0066625,0.0066625
81,60876.1,0.43321,0.69033,0.88551,0.9774,0.96799,0.98832,0.92622,0.26816,0.37499,0.78069,0.00660861,0.00660861,0.00660861
82,61626.5,0.43491,0.69685,0.8848,0.97711,0.96828,0.98837,0.92643,0.26817,0.37456,0.78069,0.00655472,0.00655472,0.00655472
83,62376,0.43105,0.68275,0.88249,0.97743,0.96828,0.98839,0.9263,0.2682,0.37424,0.78066,0.00650082,0.00650082,0.00650082
84,63126.6,0.43513,0.69544,0.88474,0.97715,0.96899,0.98843,0.92618,0.26815,0.37381,0.78053,0.00644693,0.00644693,0.00644693
85,63876,0.43504,0.69268,0.88454,0.97718,0.96926,0.98844,0.92609,0.26831,0.37345,0.78054,0.00639304,0.00639304,0.00639304
86,64627.7,0.43224,0.67775,0.8821,0.97706,0.96974,0.9885,0.92592,0.2685,0.37292,0.7805,0.00633915,0.00633915,0.00633915
87,65378.2,0.43218,0.6834,0.88158,0.9779,0.96911,0.98859,0.92611,0.26859,0.37245,0.78044,0.00628525,0.00628525,0.00628525
88,66128.1,0.43409,0.68738,0.88658,0.97787,0.9694,0.98865,0.9262,0.26872,0.37219,0.78043,0.00623136,0.00623136,0.00623136
89,66878.4,0.43212,0.67884,0.88222,0.97775,0.96919,0.98868,0.92645,0.2689,0.37201,0.78045,0.00617747,0.00617747,0.00617747
90,67629.7,0.43295,0.67882,0.88169,0.97716,0.97039,0.98872,0.92637,0.26902,0.37163,0.78048,0.00612358,0.00612358,0.00612358
91,68381.2,0.43085,0.67982,0.88109,0.97703,0.9704,0.98876,0.92652,0.2692,0.37139,0.78051,0.00606969,0.00606969,0.00606969
92,69131.2,0.42689,0.67011,0.8809,0.97671,0.9708,0.98876,0.92643,0.2692,0.37118,0.78047,0.00601579,0.00601579,0.00601579
93,69881.9,0.4268,0.66779,0.87913,0.97712,0.971,0.98883,0.92642,0.26913,0.37056,0.78048,0.0059619,0.0059619,0.0059619
94,70632.4,0.42666,0.66384,0.87906,0.97775,0.97092,0.98882,0.92629,0.26931,0.37069,0.78053,0.00590801,0.00590801,0.00590801
95,71397.6,0.42712,0.66637,0.87813,0.97775,0.97112,0.98881,0.92648,0.26927,0.37051,0.78045,0.00585412,0.00585412,0.00585412
96,72159.6,0.42621,0.66303,0.87932,0.97688,0.97132,0.98881,0.92653,0.26947,0.37021,0.78044,0.00580022,0.00580022,0.00580022
97,72911.5,0.42452,0.66243,0.87621,0.97777,0.97099,0.98878,0.92658,0.26964,0.37011,0.78044,0.00574633,0.00574633,0.00574633
98,73662.8,0.42739,0.667,0.88014,0.97791,0.97104,0.98883,0.92661,0.2699,0.36991,0.78051,0.00569244,0.00569244,0.00569244
99,74416,0.42314,0.66252,0.87655,0.97809,0.9709,0.98886,0.92648,0.26986,0.36983,0.78043,0.00563855,0.00563855,0.00563855
100,75171,0.42204,0.6585,0.87497,0.97794,0.97149,0.98891,0.92654,0.26986,0.36936,0.78028,0.00558465,0.00558465,0.00558465
