epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,752.427,0.76595,1.34466,0.9051,0.75847,0.74982,0.77047,0.64736,0.60531,0.75607,0.85551,0.000151634,0.000151634,0.000151634
2,1462.6,0.67135,0.76817,0.87741,0.78452,0.80653,0.82919,0.70322,0.5813,0.64997,0.84841,0.000273274,0.000273274,0.000273274
3,2130.62,0.64283,0.68447,0.86959,0.83308,0.82723,0.86403,0.7467,0.53608,0.56599,0.83413,0.000364884,0.000364884,0.000364884
