epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,480.822,1.23526,1.64424,0.93007,0.70702,0.74339,0.75663,0.6353,0.94389,0.87001,0.86567,0.000146083,0.000146083,0.000146083
2,941.023,1.08757,0.93268,0.9044,0.75965,0.79334,0.80941,0.69117,0.88544,0.77845,0.85512,0.000263234,0.000263234,0.000263234
3,1400.98,1.04184,0.83606,0.89337,0.79908,0.80533,0.83191,0.71457,0.85251,0.70968,0.8514,0.00035142,0.00035142,0.00035142
4,1859.39,1.00201,0.7615,0.88417,0.82674,0.8274,0.86155,0.74786,0.80821,0.6368,0.84223,0.000319701,0.000319701,0.000319701
5,2318.49,0.95293,0.6923,0.87454,0.85387,0.82182,0.87086,0.76448,0.76999,0.61055,0.83651,0.000274602,0.000274602,0.000274602
6,2773,0.91116,0.63218,0.86771,0.87323,0.85564,0.89831,0.79737,0.73081,0.54296,0.83027,0.000229502,0.000229502,0.000229502
7,3225.06,0.87768,0.58972,0.86086,0.89047,0.86901,0.91325,0.81409,0.70922,0.50334,0.82486,0.000184402,0.000184402,0.000184402
8,3679.32,0.8436,0.54212,0.85314,0.90079,0.87948,0.92486,0.83274,0.68139,0.4675,0.82059,0.000139303,0.000139303,0.000139303
9,4131.66,0.80947,0.50677,0.84882,0.91222,0.87279,0.92919,0.83897,0.66064,0.45272,0.81667,9.42032e-05,9.42032e-05,9.42032e-05
10,4582.31,0.78252,0.47304,0.84402,0.92355,0.88878,0.94048,0.85496,0.64403,0.41979,0.81275,4.91036e-05,4.91036e-05,4.91036e-05
