epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,734.641,2.28571,7.21442,2.53694,0.3849,0.30046,0.23053,0.1327,1.39834,3.58373,1.64754,0.000182318,0.000182318,0.000182318
2,1459.23,1.38796,3.93697,1.52475,0.46234,0.4983,0.4937,0.33939,1.00262,2.76475,1.26465,0.000346805,0.000346805,0.000346805
3,2180.36,1.13613,2.93435,1.28357,0.57336,0.59496,0.60811,0.45197,0.82324,2.15827,1.1155,0.000410082,0.000410082,0.000410082
4,2899.43,1.00464,2.45597,1.16913,0.68945,0.66032,0.6896,0.53294,0.74343,1.83308,1.038,0.000387623,0.000387623,0.000387623
5,3620.04,0.9245,2.17833,1.09969,0.69691,0.70757,0.71482,0.5637,0.68533,1.72606,0.99769,0.000365164,0.000365164,0.000365164
6,4338.88,0.86816,2.01263,1.05373,0.68606,0.6946,0.72756,0.57941,0.66751,1.65721,0.97837,0.000342705,0.000342705,0.000342705
7,5058.71,0.82512,1.88281,1.02087,0.72078,0.68968,0.74887,0.60615,0.62276,1.52164,0.94325,0.000320246,0.000320246,0.000320246
8,5778.59,0.79045,1.78255,0.99868,0.76515,0.73986,0.76518,0.63674,0.57224,1.41823,0.90634,0.000297787,0.000297787,0.000297787
9,6499.18,0.76637,1.70713,0.98173,0.71018,0.75171,0.77867,0.6512,0.55816,1.382,0.89526,0.000275328,0.000275328,0.000275328
10,7221.1,0.74135,1.63012,0.9604,0.73867,0.7612,0.77881,0.65483,0.55468,1.36221,0.89015,0.000252869,0.000252869,0.000252869
11,7922.33,0.66568,1.46897,0.95043,0.72768,0.77232,0.79812,0.67505,0.53836,1.28867,0.87356,0.00023041,0.00023041,0.00023041
12,8620.89,0.6414,1.40176,0.93168,0.76114,0.78335,0.80929,0.69086,0.51209,1.20533,0.85834,0.000207951,0.000207951,0.000207951
13,9319,0.62674,1.34913,0.92208,0.81265,0.78493,0.81281,0.69677,0.50628,1.19493,0.8519,0.000185492,0.000185492,0.000185492
14,10017,0.6108,1.30913,0.91069,0.80052,0.79019,0.82119,0.71112,0.49213,1.15689,0.84448,0.000163033,0.000163033,0.000163033
15,10715.2,0.59945,1.26168,0.9026,0.78585,0.80782,0.83097,0.72066,0.48595,1.10513,0.83696,0.000140574,0.000140574,0.000140574
16,11413.5,0.58693,1.22788,0.89402,0.8295,0.81098,0.83649,0.72919,0.48028,1.07768,0.83423,0.000118115,0.000118115,0.000118115
17,12111.2,0.57742,1.19407,0.88632,0.83283,0.80947,0.84055,0.73639,0.47082,1.04348,0.82704,9.56556e-05,9.56556e-05,9.56556e-05
18,12809.2,0.5678,1.16621,0.87969,0.8355,0.81832,0.84956,0.74643,0.46148,1.01581,0.82094,7.31965e-05,7.31965e-05,7.31965e-05
19,13507,0.56159,1.14071,0.87766,0.82503,0.82352,0.85066,0.7485,0.45755,1.00246,0.81817,5.07375e-05,5.07375e-05,5.07375e-05
20,14205.4,0.55242,1.11622,0.87046,0.83542,0.82155,0.85252,0.75191,0.45389,0.99079,0.81582,2.82785e-05,2.82785e-05,2.82785e-05
