epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,543.316,0.82598,1.34827,0.9178,0.7015,0.74898,0.76826,0.64517,0.65904,0.75822,0.87035,0.000151634,0.000151634,0.000151634
2,1031.64,0.72732,0.7711,0.88974,0.77741,0.80782,0.83327,0.70736,0.62067,0.64558,0.85882,0.000273274,0.000273274,0.000273274
3,1507.03,0.69294,0.68337,0.88125,0.8304,0.81796,0.86141,0.74442,0.58337,0.57016,0.84895,0.000364884,0.000364884,0.000364884
4,2098.68,0.66316,0.62719,0.87208,0.86391,0.84428,0.8864,0.77546,0.55734,0.52707,0.83905,0.000319865,0.000319865,0.000319865
5,2756.58,0.62843,0.55947,0.86378,0.88373,0.85663,0.90503,0.79671,0.53124,0.48712,0.83269,0.00027482,0.00027482,0.00027482
6,3431.34,0.59783,0.51045,0.85602,0.90246,0.86439,0.9162,0.81737,0.50214,0.44768,0.8283,0.000229775,0.000229775,0.000229775
7,4090.69,0.57476,0.47215,0.84957,0.9071,0.88288,0.92915,0.8347,0.48337,0.41392,0.8214,0.00018473,0.00018473,0.00018473
8,4754.65,0.55212,0.43748,0.84298,0.9134,0.88358,0.93677,0.84855,0.46288,0.39726,0.81617,0.000139685,0.000139685,0.000139685
9,5435.68,0.52977,0.40376,0.83654,0.91879,0.90809,0.94972,0.86158,0.4528,0.36064,0.81344,9.464e-05,9.464e-05,9.464e-05
10,6086.77,0.50998,0.37546,0.83323,0.93876,0.91085,0.95653,0.87245,0.44027,0.33852,0.81082,4.9595e-05,4.9595e-05,4.9595e-05
