epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,905.868,1.25796,3.12394,1.49988,0.55157,0.54293,0.50521,0.34247,0.7908,2.12494,1.08712,0.0719596,0.00343737,0.00343737
2,1910.3,0.85324,2.09559,1.13231,0.7142,0.52427,0.59159,0.42684,0.67173,2.05009,0.99209,0.0438846,0.00685359,0.00685359
3,2787.34,0.76262,1.83187,1.06077,0.61993,0.67649,0.68773,0.53169,0.58783,1.54011,0.92954,0.0157869,0.0102472,0.0102472
4,3658.45,0.72111,1.69997,1.03109,0.68295,0.68554,0.70643,0.54113,0.57504,1.50421,0.92374,0.0108122,0.0108122,0.0108122
5,4624.76,0.68743,1.58633,1.00294,0.71533,0.71099,0.73845,0.58434,0.53784,1.37605,0.90446,0.0107763,0.0107763,0.0107763
6,5527.07,0.67216,1.52952,0.9937,0.73706,0.71887,0.75667,0.59965,0.5235,1.32046,0.89751,0.0107404,0.0107404,0.0107404
7,6510.61,0.65638,1.46594,0.98269,0.7135,0.72826,0.76947,0.61927,0.50507,1.2654,0.87951,0.0107044,0.0107044,0.0107044
8,7478.96,0.64443,1.42987,0.97317,0.75923,0.71789,0.76387,0.61367,0.50258,1.30248,0.87784,0.0106685,0.0106685,0.0106685
9,8549.9,0.63275,1.38445,0.96575,0.78981,0.74693,0.79603,0.6564,0.4679,1.16112,0.84427,0.0106326,0.0106326,0.0106326
10,9591.84,0.63137,1.37078,0.9623,0.78028,0.76593,0.80373,0.65937,0.47333,1.14283,0.8524,0.0105966,0.0105966,0.0105966
11,10526.5,0.61944,1.33676,0.95466,0.78416,0.75706,0.80913,0.67463,0.45413,1.10591,0.84051,0.0105607,0.0105607,0.0105607
12,11565.7,0.61418,1.3199,0.95082,0.79187,0.76304,0.8131,0.68065,0.44581,1.08042,0.8362,0.0105248,0.0105248,0.0105248
13,12601.4,0.61407,1.30127,0.95043,0.81417,0.77951,0.83142,0.6968,0.44089,1.03104,0.82763,0.0104889,0.0104889,0.0104889
14,13372.5,0.604,1.27763,0.94357,0.8033,0.77978,0.82293,0.69365,0.43222,1.04823,0.82498,0.0104529,0.0104529,0.0104529
15,13741.8,0.59804,1.26141,0.93911,0.79944,0.79313,0.8378,0.71078,0.42518,0.98514,0.8215,0.010417,0.010417,0.010417
16,14111.6,0.6002,1.24482,0.93917,0.82305,0.78677,0.84827,0.71801,0.42821,0.96633,0.82239,0.0103811,0.0103811,0.0103811
17,14479.9,0.5971,1.24178,0.93692,0.83364,0.79269,0.85212,0.72361,0.41847,0.95888,0.81612,0.0103451,0.0103451,0.0103451
18,14845.1,0.58593,1.21183,0.93241,0.84036,0.79868,0.85349,0.72964,0.41227,0.94292,0.8126,0.0103092,0.0103092,0.0103092
19,15368.6,0.58739,1.21217,0.92965,0.82027,0.82082,0.86305,0.73825,0.41048,0.91991,0.80846,0.0102733,0.0102733,0.0102733
20,15925.3,0.58216,1.18276,0.92718,0.83691,0.82369,0.86601,0.74629,0.39903,0.88327,0.80127,0.0102374,0.0102374,0.0102374
21,16449.3,0.58049,1.17633,0.92448,0.83682,0.82198,0.86997,0.74934,0.40039,0.88394,0.80355,0.0102014,0.0102014,0.0102014
22,16947.2,0.57313,1.16228,0.91957,0.84194,0.8277,0.87161,0.75411,0.39521,0.86774,0.79776,0.0101655,0.0101655,0.0101655
23,17376.2,0.57512,1.15346,0.91954,0.84623,0.82317,0.87156,0.75401,0.39382,0.86632,0.79546,0.0101296,0.0101296,0.0101296
24,17764.8,0.56994,1.14658,0.91714,0.85537,0.8284,0.87951,0.76319,0.3889,0.84207,0.79567,0.0100937,0.0100937,0.0100937
25,18128.4,0.56324,1.12055,0.91188,0.85703,0.83829,0.88406,0.76835,0.38479,0.82071,0.79178,0.0100577,0.0100577,0.0100577
26,18491.7,0.56707,1.12645,0.91308,0.85583,0.84667,0.88712,0.77276,0.38173,0.79348,0.78935,0.0100218,0.0100218,0.0100218
27,18852.8,0.56187,1.11166,0.91063,0.86832,0.84727,0.89261,0.77896,0.37956,0.7853,0.78886,0.00998587,0.00998587,0.00998587
28,19214.5,0.56092,1.10283,0.91128,0.87066,0.84483,0.89311,0.78105,0.37769,0.77961,0.78732,0.00994994,0.00994994,0.00994994
29,19580.7,0.55943,1.09884,0.90937,0.87814,0.84452,0.89633,0.78524,0.3748,0.77251,0.78679,0.00991401,0.00991401,0.00991401
30,19946.3,0.55923,1.09016,0.91006,0.87491,0.85096,0.89753,0.78569,0.37272,0.76728,0.78633,0.00987808,0.00987808,0.00987808
31,20373,0.55531,1.08416,0.90617,0.87374,0.85214,0.89887,0.78744,0.37183,0.76734,0.78407,0.00984215,0.00984215,0.00984215
32,21043.3,0.55211,1.07439,0.90371,0.8755,0.85846,0.90547,0.79445,0.36922,0.74881,0.7825,0.00980622,0.00980622,0.00980622
33,21743.3,0.54697,1.05975,0.902,0.87853,0.86233,0.90502,0.79532,0.36737,0.74486,0.78185,0.0097703,0.0097703,0.0097703
34,22269.5,0.55101,1.06156,0.9027,0.88203,0.86315,0.90824,0.7993,0.36589,0.73451,0.78051,0.00973437,0.00973437,0.00973437
35,22663.8,0.54926,1.05912,0.90383,0.88671,0.86122,0.90968,0.80139,0.36379,0.72988,0.77929,0.00969844,0.00969844,0.00969844
36,23030.7,0.54801,1.05452,0.90264,0.88478,0.86302,0.90933,0.80216,0.36289,0.72786,0.77952,0.00966251,0.00966251,0.00966251
