epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,481.604,0.86862,1.74186,0.77986,0.76995,0.80061,0.82297,0.70837,0.66323,1.02926,0.72519,0.00427835,0.00427835,0.00427835
2,979.169,0.86861,1.14038,0.77477,0.78017,0.7523,0.8158,0.68954,0.72235,1.06813,0.74042,0.00855685,0.00855685,0.00855685
3,1505.32,0.9095,1.1376,0.78754,0.81024,0.81068,0.84508,0.71896,0.70069,0.97559,0.73804,0.00999604,0.00999604,0.00999604
4,2026.11,0.84989,1.00853,0.7776,0.86664,0.85282,0.89662,0.77723,0.65868,0.78686,0.72563,0.00999406,0.00999406,0.00999406
5,2513.05,0.80487,0.91716,0.76786,0.89585,0.86711,0.91706,0.81212,0.59446,0.70497,0.71325,0.00999208,0.00999208,0.00999208
6,3000.81,0.77367,0.84915,0.76163,0.89335,0.8674,0.92086,0.81884,0.57366,0.69139,0.71231,0.0099901,0.0099901,0.0099901
7,3390.7,0.74831,0.80256,0.75538,0.92064,0.89945,0.94131,0.84541,0.54596,0.6088,0.70527,0.00998812,0.00998812,0.00998812
8,4099.47,0.73281,0.76447,0.75105,0.92156,0.90101,0.94956,0.8518,0.55157,0.57895,0.7033,0.00998614,0.00998614,0.00998614
9,4527.96,0.71438,0.73059,0.74777,0.93479,0.90815,0.95317,0.85892,0.52793,0.55751,0.70047,0.00998416,0.00998416,0.00998416
10,5493.5,0.70392,0.70815,0.74488,0.93431,0.92448,0.96063,0.87371,0.51272,0.53111,0.69605,0.00998218,0.00998218,0.00998218
11,5940.12,0.69214,0.68822,0.7418,0.95135,0.92337,0.96746,0.88252,0.50279,0.49948,0.69564,0.0099802,0.0099802,0.0099802
12,6454.73,0.67562,0.65685,0.73892,0.95231,0.93239,0.97085,0.8881,0.49179,0.48367,0.69175,0.00997822,0.00997822,0.00997822
13,6938.6,0.6711,0.6478,0.73599,0.95724,0.94083,0.97709,0.89769,0.48299,0.45631,0.6892,0.00997624,0.00997624,0.00997624
14,7926.05,0.66234,0.63365,0.73428,0.95999,0.94194,0.9777,0.89945,0.46848,0.43324,0.68808,0.00997426,0.00997426,0.00997426
