epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,726.916,2.5596,4.47901,3.20045,0.33032,0.31616,0.21841,0.12739,1.53775,2.23817,2.03053,0.00015152,0.00015152,0.00015152
2,1446.21,1.50488,2.51138,1.89297,0.40631,0.54241,0.47421,0.33502,1.07402,1.67084,1.52853,0.000288179,0.000288179,0.000288179
3,2162.79,1.21003,1.87327,1.57441,0.56189,0.58437,0.5827,0.44327,0.87384,1.3412,1.3445,0.000409823,0.000409823,0.000409823
4,2876.78,1.06045,1.55775,1.42753,0.63375,0.59685,0.64841,0.50774,0.79431,1.22041,1.26302,0.000387433,0.000387433,0.000387433
5,3591.93,0.97053,1.38786,1.3419,0.69195,0.68423,0.69956,0.56304,0.70615,1.06197,1.18732,0.00036491,0.00036491,0.00036491
6,4306.16,0.9147,1.28002,1.29022,0.68259,0.66796,0.7029,0.5778,0.66976,1.0479,1.15879,0.000342387,0.000342387,0.000342387
7,5019.88,0.86615,1.19998,1.24993,0.7199,0.69686,0.72618,0.60124,0.63901,0.98104,1.12977,0.000319865,0.000319865,0.000319865
8,5732.31,0.82827,1.13807,1.22322,0.72029,0.7286,0.74142,0.62932,0.59385,0.89629,1.09377,0.000297342,0.000297342,0.000297342
9,6444.39,0.80429,1.09442,1.20101,0.72488,0.7442,0.75562,0.64072,0.57866,0.87135,1.07711,0.00027482,0.00027482,0.00027482
10,7157.47,0.77743,1.0455,1.17599,0.74577,0.76105,0.75802,0.6538,0.55611,0.85984,1.06038,0.000252298,0.000252298,0.000252298
11,7850.99,0.68905,0.94286,1.14917,0.6875,0.76249,0.7701,0.66282,0.54547,0.80722,1.05087,0.000229775,0.000229775,0.000229775
12,8542.52,0.66484,0.90448,1.1274,0.75458,0.76695,0.77543,0.67288,0.53347,0.79268,1.04139,0.000207252,0.000207252,0.000207252
13,9233.01,0.65002,0.8792,1.11617,0.76622,0.77608,0.78055,0.679,0.52766,0.78245,1.03414,0.00018473,0.00018473,0.00018473
14,9923.21,0.63073,0.85154,1.10087,0.7811,0.78013,0.78904,0.69402,0.50278,0.74001,1.01833,0.000162207,0.000162207,0.000162207
15,10613.7,0.61864,0.82497,1.09241,0.72981,0.78665,0.7943,0.70286,0.49461,0.72687,1.01064,0.000139685,0.000139685,0.000139685
16,11304.7,0.60607,0.80976,1.083,0.76476,0.79595,0.79914,0.70869,0.48955,0.71995,1.00631,0.000117163,0.000117163,0.000117163
17,11995.4,0.59432,0.78939,1.07243,0.77071,0.79215,0.80301,0.71554,0.48131,0.69398,0.99939,9.464e-05,9.464e-05,9.464e-05
18,12685.6,0.58437,0.77065,1.06505,0.74927,0.79319,0.80564,0.71892,0.47445,0.6903,0.99411,7.21175e-05,7.21175e-05,7.21175e-05
19,13376.3,0.57605,0.75958,1.06054,0.76995,0.79575,0.80718,0.72201,0.46889,0.67879,0.98942,4.9595e-05,4.9595e-05,4.9595e-05
20,14066.6,0.56796,0.74863,1.05381,0.7705,0.79607,0.80906,0.72617,0.46472,0.67305,0.98665,2.70725e-05,2.70725e-05,2.70725e-05
