epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,491.736,0.91891,1.37861,1.01387,0.68851,0.75994,0.77256,0.64729,0.72135,0.76114,0.9586,0.00014522,0.00014522,0.00014522
2,952.664,0.80691,0.78906,0.9822,0.78477,0.79964,0.8286,0.70515,0.68769,0.66395,0.94877,0.000261715,0.000261715,0.000261715
3,1409.72,0.76621,0.70426,0.97268,0.81363,0.81762,0.84879,0.7334,0.63992,0.59454,0.93562,0.00034945,0.00034945,0.00034945
4,1868.51,0.73281,0.6337,0.96517,0.85286,0.84026,0.87982,0.76871,0.61107,0.53415,0.92779,0.000319865,0.000319865,0.000319865
5,2323.13,0.6957,0.57578,0.95202,0.87882,0.8467,0.89565,0.78797,0.58482,0.49448,0.91875,0.00027482,0.00027482,0.00027482
6,2776.48,0.66476,0.52305,0.94683,0.89685,0.87424,0.91904,0.81752,0.55438,0.44328,0.91152,0.000229775,0.000229775,0.000229775
7,3234.17,0.63654,0.48525,0.93863,0.90949,0.8812,0.92921,0.8332,0.52906,0.41764,0.90568,0.00018473,0.00018473,0.00018473
8,3696.13,0.61035,0.4473,0.92992,0.92023,0.89433,0.9434,0.85238,0.51229,0.38702,0.90105,0.000139685,0.000139685,0.000139685
9,4191.67,0.58765,0.4177,0.92453,0.92286,0.89264,0.94462,0.85637,0.49815,0.3763,0.89825,9.464e-05,9.464e-05,9.464e-05
10,4664.38,0.56445,0.39009,0.92064,0.93369,0.91042,0.9549,0.86977,0.48453,0.34686,0.89387,4.9595e-05,4.9595e-05,4.9595e-05
