epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,729.794,2.05263,5.83765,3.04864,0.37671,0.30469,0.21926,0.12155,1.28384,2.97206,1.98002,0.000143123,0.000143123,0.000143123
2,1452.53,1.2413,3.26816,1.83562,0.43942,0.52134,0.47069,0.32401,0.86874,2.13863,1.48721,0.000272222,0.000272222,0.000272222
3,2172.66,0.99805,2.41025,1.52838,0.57735,0.5965,0.59199,0.43402,0.74007,1.76115,1.334,0.000387152,0.000387152,0.000387152
4,2890.22,0.87324,1.99366,1.3818,0.68579,0.64168,0.6711,0.52349,0.62796,1.47806,1.20234,0.000387499,0.000387499,0.000387499
5,3607.53,0.79723,1.76227,1.29256,0.72198,0.66298,0.70898,0.56076,0.58366,1.3573,1.15197,0.000364998,0.000364998,0.000364998
6,4324.93,0.749,1.61545,1.23814,0.70588,0.68761,0.71507,0.57346,0.54876,1.33179,1.11821,0.000342498,0.000342498,0.000342498
7,5042.03,0.711,1.51235,1.20032,0.75564,0.69631,0.74664,0.61352,0.51783,1.19981,1.07581,0.000319997,0.000319997,0.000319997
8,5759.85,0.67969,1.43241,1.17354,0.67131,0.74276,0.75516,0.6284,0.49123,1.14697,1.05688,0.000297497,0.000297497,0.000297497
9,6480.01,0.66068,1.37677,1.15135,0.74523,0.75904,0.77116,0.65088,0.46602,1.07983,1.03096,0.000274997,0.000274997,0.000274997
10,7199.72,0.63742,1.31905,1.12583,0.76906,0.76522,0.7784,0.66364,0.45281,1.04179,1.01826,0.000252496,0.000252496,0.000252496
11,7895.07,0.5658,1.1867,1.10849,0.71768,0.76379,0.78307,0.66725,0.44878,1.0289,1.00966,0.000229996,0.000229996,0.000229996
12,8588.48,0.54733,1.13339,1.08757,0.73244,0.77308,0.79659,0.6845,0.43383,0.97534,0.99676,0.000207495,0.000207495,0.000207495
13,9281.45,0.53511,1.09484,1.07467,0.76833,0.78983,0.80392,0.69391,0.42272,0.95011,0.98446,0.000184995,0.000184995,0.000184995
14,9974.74,0.52057,1.06003,1.06021,0.80525,0.78871,0.80943,0.70444,0.41404,0.92164,0.97689,0.000162494,0.000162494,0.000162494
15,10667.5,0.50921,1.02941,1.05014,0.75661,0.79181,0.8153,0.71325,0.40844,0.89877,0.96933,0.000139994,0.000139994,0.000139994
16,11359.8,0.50015,1.00068,1.03972,0.78889,0.80709,0.82037,0.71873,0.40505,0.88369,0.96534,0.000117494,0.000117494,0.000117494
17,12052.2,0.49135,0.97552,1.03008,0.7985,0.8057,0.82697,0.73009,0.39498,0.84552,0.95674,9.49931e-05,9.49931e-05,9.49931e-05
18,12744.9,0.48287,0.95417,1.02431,0.78896,0.80619,0.82994,0.73331,0.39066,0.83557,0.95333,7.24926e-05,7.24926e-05,7.24926e-05
19,13438.8,0.47566,0.93709,1.01897,0.81394,0.80819,0.83264,0.73603,0.3873,0.82706,0.94919,4.99922e-05,4.99922e-05,4.99922e-05
20,14132.6,0.47034,0.91931,1.01264,0.79854,0.81282,0.83498,0.74044,0.38294,0.81274,0.94531,2.74918e-05,2.74918e-05,2.74918e-05
