epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,727.603,1.94349,6.28508,2.61649,0.23947,0.32061,0.2055,0.11259,1.21442,3.25773,1.72484,0.000155583,0.000155583,0.000155583
2,1443.57,1.17777,3.49989,1.58871,0.47087,0.48979,0.47686,0.32681,0.85081,2.22906,1.30282,0.000295906,0.000295906,0.000295906
3,2156.16,0.94284,2.55395,1.32274,0.53081,0.61809,0.5956,0.44773,0.68682,1.82621,1.11754,0.000409956,0.000409956,0.000409956
4,2866.31,0.82925,2.1123,1.19798,0.61245,0.69077,0.67519,0.52493,0.60945,1.54688,1.03677,0.000387435,0.000387435,0.000387435
5,3576.93,0.76314,1.87538,1.12849,0.68797,0.70487,0.71433,0.56598,0.56285,1.44365,0.9884,0.000364913,0.000364913,0.000364913
6,4288.96,0.70915,1.71666,1.0733,0.73172,0.71683,0.73699,0.59064,0.5279,1.34172,0.95613,0.000342391,0.000342391,0.000342391
7,5006.83,0.67578,1.60123,1.04285,0.73241,0.73145,0.74535,0.6116,0.5009,1.31731,0.93438,0.000319869,0.000319869,0.000319869
8,5731.74,0.64666,1.51701,1.0145,0.76992,0.75722,0.77201,0.64151,0.47698,1.18102,0.90899,0.000297347,0.000297347,0.000297347
9,6455.82,0.62762,1.45125,0.99358,0.73164,0.76482,0.77588,0.65132,0.46002,1.16056,0.89401,0.000274825,0.000274825,0.000274825
10,7175.12,0.60919,1.39266,0.97817,0.73744,0.76847,0.78771,0.66604,0.44682,1.1082,0.8831,0.000252304,0.000252304,0.000252304
11,7868.93,0.54186,1.24736,0.95274,0.73429,0.77042,0.79277,0.6723,0.44614,1.09609,0.87583,0.000229782,0.000229782,0.000229782
12,8560.1,0.52534,1.19892,0.93755,0.76788,0.77762,0.80267,0.68894,0.42524,1.04852,0.8631,0.00020726,0.00020726,0.00020726
13,9251.07,0.51432,1.15539,0.92727,0.75673,0.79007,0.80867,0.70039,0.41383,1.02743,0.85242,0.000184738,0.000184738,0.000184738
14,9941.83,0.50001,1.11714,0.91373,0.78382,0.78705,0.81923,0.71078,0.41024,0.98391,0.84999,0.000162216,0.000162216,0.000162216
15,10632.2,0.48887,1.07754,0.90548,0.79045,0.81816,0.82954,0.72417,0.40121,0.93797,0.83891,0.000139695,0.000139695,0.000139695
16,11322.5,0.47962,1.05251,0.89728,0.80319,0.82278,0.83342,0.72975,0.39549,0.92502,0.83511,0.000117173,0.000117173,0.000117173
17,12012.8,0.47181,1.02441,0.89035,0.80828,0.82239,0.83834,0.73652,0.38907,0.89517,0.82984,9.46509e-05,9.46509e-05,9.46509e-05
18,12703.4,0.46275,0.9982,0.88225,0.80532,0.82233,0.84028,0.74116,0.3842,0.88997,0.82526,7.21291e-05,7.21291e-05,7.21291e-05
19,13393.6,0.45675,0.97627,0.87894,0.81395,0.82521,0.84432,0.74597,0.37935,0.86804,0.82122,4.96073e-05,4.96073e-05,4.96073e-05
20,14084.1,0.45085,0.95891,0.87133,0.82009,0.82885,0.84826,0.75092,0.37589,0.8539,0.81793,2.70855e-05,2.70855e-05,2.70855e-05
