epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1328.66,1.37327,2.25485,0.81859,0.58825,0.6591,0.66275,0.51057,1.0342,1.32846,0.75617,0.000194741,0.000194741,0.000194741
2,2941.43,1.20889,1.4902,0.78268,0.62013,0.69769,0.69576,0.54893,0.96042,1.19346,0.74093,0.00026096,0.00026096,0.00026096
3,4615.44,1.11442,1.30651,0.76407,0.72646,0.71914,0.72591,0.58297,0.88305,1.07952,0.72161,0.0001547,0.0001547,0.0001547
