epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,726.663,2.04105,5.96009,2.75657,0.27836,0.30597,0.21904,0.12302,1.2875,3.04764,1.81034,0.000143123,0.000143123,0.000143123
2,1446.02,1.23718,3.3184,1.65867,0.42613,0.52389,0.4815,0.32968,0.86621,2.20524,1.3278,0.000272208,0.000272208,0.000272208
3,2161.88,0.99162,2.42894,1.37223,0.54424,0.60667,0.60049,0.44057,0.71664,1.83488,1.17816,0.00038711,0.00038711,0.00038711
4,2878.27,0.86623,2.01147,1.23879,0.59481,0.67795,0.67722,0.53005,0.62276,1.46596,1.07576,0.000387433,0.000387433,0.000387433
5,3593.94,0.78934,1.77788,1.1578,0.72373,0.68336,0.71689,0.56762,0.58688,1.36429,1.04135,0.00036491,0.00036491,0.00036491
6,4306.83,0.73974,1.62706,1.1075,0.70136,0.69966,0.71765,0.57586,0.55397,1.32327,1.01284,0.000342387,0.000342387,0.000342387
7,5019.06,0.69975,1.5132,1.07144,0.71237,0.71832,0.7509,0.60951,0.53773,1.24826,0.98871,0.000319865,0.000319865,0.000319865
8,5731.39,0.66896,1.43545,1.04749,0.72407,0.73934,0.76367,0.63778,0.49052,1.13974,0.95206,0.000297342,0.000297342,0.000297342
9,6443.73,0.65118,1.3771,1.03017,0.72923,0.76659,0.77713,0.65539,0.4707,1.09369,0.93132,0.00027482,0.00027482,0.00027482
10,7156.04,0.6284,1.31665,1.00793,0.72007,0.77651,0.78425,0.66842,0.45642,1.06649,0.9202,0.000252298,0.000252298,0.000252298
11,7849.67,0.55673,1.17739,0.98964,0.73647,0.77736,0.7916,0.67479,0.45406,1.03845,0.91276,0.000229775,0.000229775,0.000229775
12,8540.78,0.53964,1.1303,0.97203,0.77073,0.79043,0.80269,0.69237,0.43165,0.96951,0.89504,0.000207252,0.000207252,0.000207252
13,9231.79,0.52748,1.09044,0.9607,0.76119,0.80565,0.80832,0.70153,0.42637,0.96499,0.88923,0.00018473,0.00018473,0.00018473
14,9923.01,0.51424,1.05855,0.94952,0.79149,0.80119,0.8166,0.7144,0.41249,0.92917,0.87732,0.000162207,0.000162207,0.000162207
15,10614.2,0.50421,1.02279,0.94065,0.79075,0.80475,0.81846,0.71667,0.40836,0.91813,0.87328,0.000139685,0.000139685,0.000139685
16,11305.2,0.49357,0.99936,0.93198,0.79711,0.81856,0.82717,0.72765,0.40048,0.88833,0.86701,0.000117163,0.000117163,0.000117163
17,11995.7,0.48507,0.97429,0.92404,0.80702,0.8182,0.83019,0.73212,0.39721,0.86499,0.86293,9.464e-05,9.464e-05,9.464e-05
18,12686.7,0.47671,0.95076,0.91706,0.80138,0.82169,0.83469,0.74014,0.38914,0.84501,0.85658,7.21175e-05,7.21175e-05,7.21175e-05
19,13376.8,0.47017,0.93689,0.9137,0.81011,0.8254,0.8374,0.74328,0.38543,0.83602,0.85323,4.9595e-05,4.9595e-05,4.9595e-05
20,14066.4,0.46315,0.91512,0.90736,0.81964,0.82227,0.83834,0.74551,0.383,0.83125,0.85131,2.70725e-05,2.70725e-05,2.70725e-05
