epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,735.999,1.96523,6.84457,2.76086,0.45913,0.32739,0.24348,0.14217,1.20249,3.39116,1.78082,0.000155583,0.000155583,0.000155583
2,1460.14,1.19152,3.75889,1.67093,0.40562,0.53331,0.464,0.31619,0.87035,2.59331,1.38501,0.000295906,0.000295906,0.000295906
3,2180.47,0.95549,2.74353,1.3918,0.57919,0.61705,0.61909,0.45938,0.70463,2.03806,1.18869,0.000409956,0.000409956,0.000409956
4,2899.12,0.83875,2.27016,1.25804,0.68214,0.64341,0.6839,0.53027,0.61876,1.72202,1.0917,0.000387435,0.000387435,0.000387435
5,3617.81,0.76731,2.00593,1.18205,0.69287,0.70757,0.72472,0.57808,0.56683,1.5442,1.04628,0.000364913,0.000364913,0.000364913
6,4340.52,0.72448,1.85723,1.13946,0.72988,0.70889,0.73432,0.5906,0.54698,1.51263,1.02345,0.000342391,0.000342391,0.000342391
7,5057.99,0.68878,1.74406,1.10328,0.73405,0.73286,0.75047,0.61855,0.51082,1.41534,0.99044,0.000319869,0.000319869,0.000319869
8,5802.61,0.66058,1.65687,1.07518,0.76948,0.75567,0.77428,0.64073,0.49852,1.30909,0.97672,0.000297347,0.000297347,0.000297347
9,6552.46,0.63994,1.58181,1.05269,0.76537,0.75711,0.77869,0.65553,0.4657,1.26678,0.94652,0.000274825,0.000274825,0.000274825
10,7296.64,0.61919,1.50802,1.03171,0.79609,0.76631,0.79452,0.67419,0.45411,1.20828,0.9341,0.000252304,0.000252304,0.000252304
