epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1112.19,0.76595,1.34466,0.9051,0.75847,0.74982,0.77047,0.64736,0.60531,0.75607,0.85551,0.000151634,0.000151634,0.000151634
2,1904.5,0.67135,0.76817,0.87741,0.78452,0.80653,0.82919,0.70322,0.5813,0.64997,0.84841,0.000273274,0.000273274,0.000273274
3,2392.78,0.64283,0.68447,0.86959,0.83308,0.82723,0.86403,0.7467,0.53608,0.56599,0.83413,0.000364884,0.000364884,0.000364884
4,2882.73,0.61513,0.61965,0.85921,0.86393,0.84359,0.8857,0.77131,0.517,0.52977,0.82722,0.000319865,0.000319865,0.000319865
5,3366.47,0.58475,0.55573,0.85189,0.88394,0.85536,0.90766,0.79751,0.4962,0.47586,0.82335,0.00027482,0.00027482,0.00027482
6,3857.03,0.55709,0.50833,0.84487,0.90149,0.87212,0.92343,0.82118,0.46722,0.44327,0.81617,0.000229775,0.000229775,0.000229775
7,4319.02,0.53264,0.4679,0.83751,0.90999,0.88035,0.93191,0.83436,0.44896,0.41253,0.8108,0.00018473,0.00018473,0.00018473
8,4779.94,0.51139,0.43187,0.83148,0.9184,0.88582,0.94275,0.84861,0.43761,0.39506,0.8069,0.000139685,0.000139685,0.000139685
9,5267.75,0.49371,0.40097,0.82549,0.92618,0.89847,0.94984,0.86139,0.42184,0.36471,0.80274,9.464e-05,9.464e-05,9.464e-05
10,5808.62,0.47396,0.37406,0.82131,0.93662,0.91523,0.95881,0.87092,0.41597,0.34038,0.80074,4.9595e-05,4.9595e-05,4.9595e-05
