epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,482.967,0.82971,1.35122,0.91908,0.75046,0.74633,0.76814,0.64338,0.65961,0.76354,0.86643,0.000151634,0.000151634,0.000151634
2,942.949,0.72496,0.76987,0.88899,0.78325,0.7888,0.82606,0.70222,0.6153,0.66474,0.85752,0.000273286,0.000273286,0.000273286
3,1392.89,0.69317,0.68821,0.88149,0.81721,0.81564,0.85017,0.72988,0.59635,0.59282,0.85175,0.000364921,0.000364921,0.000364921
4,1843.18,0.66065,0.62188,0.87315,0.85794,0.8477,0.88606,0.77521,0.55373,0.52537,0.83966,0.000319921,0.000319921,0.000319921
5,2294.68,0.6282,0.55872,0.86347,0.87461,0.84705,0.89283,0.78477,0.5372,0.49668,0.837,0.000274895,0.000274895,0.000274895
6,2748.73,0.59832,0.51079,0.85592,0.90639,0.87507,0.92304,0.82301,0.50442,0.43932,0.82704,0.000229868,0.000229868,0.000229868
7,3201.63,0.57382,0.47017,0.85014,0.91938,0.87992,0.93417,0.8371,0.48155,0.40739,0.82065,0.000184842,0.000184842,0.000184842
8,3650.99,0.5502,0.4339,0.84222,0.90975,0.88658,0.93839,0.84593,0.46919,0.39767,0.81708,0.000139816,0.000139816,0.000139816
9,4099.66,0.52971,0.40417,0.83684,0.92451,0.89689,0.94726,0.85915,0.45213,0.36957,0.81377,9.47892e-05,9.47892e-05,9.47892e-05
10,4554.03,0.50812,0.37487,0.833,0.93035,0.91153,0.95528,0.86988,0.44359,0.34209,0.81049,4.97629e-05,4.97629e-05,4.97629e-05
