epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,478.954,0.91105,1.09624,0.91773,0.7545,0.72563,0.75521,0.62506,0.71955,0.62324,0.86079,0.000248688,0.000248688,0.000248688
2,934.737,0.81205,0.67028,0.89399,0.74836,0.77896,0.79819,0.67185,0.6671,0.55803,0.84658,0.000409977,0.000409977,0.000409977
3,1390.03,0.76345,0.58728,0.87969,0.7821,0.80642,0.82989,0.71015,0.6261,0.49952,0.83927,0.000364955,0.000364955,0.000364955
4,1841.53,0.72137,0.52665,0.869,0.83677,0.83683,0.86819,0.7511,0.60541,0.43989,0.83142,0.000319932,0.000319932,0.000319932
5,2289.33,0.68848,0.48329,0.8582,0.85319,0.84333,0.87979,0.77033,0.56546,0.4157,0.8222,0.000274909,0.000274909,0.000274909
6,2739.53,0.65891,0.44341,0.85252,0.88742,0.8616,0.90534,0.80519,0.53693,0.37145,0.81617,0.000229886,0.000229886,0.000229886
7,3191.42,0.63293,0.41535,0.84461,0.88499,0.86886,0.91307,0.81712,0.51755,0.35425,0.81227,0.000184864,0.000184864,0.000184864
8,3639.25,0.60937,0.38562,0.83798,0.90019,0.86735,0.92076,0.83042,0.49685,0.34578,0.8073,0.000139841,0.000139841,0.000139841
9,4085.21,0.58715,0.3605,0.83307,0.90329,0.88185,0.92897,0.84063,0.48339,0.32244,0.80405,9.48184e-05,9.48184e-05,9.48184e-05
10,4532.63,0.56784,0.33902,0.82894,0.9234,0.88826,0.94018,0.85497,0.47094,0.2983,0.80139,4.97957e-05,4.97957e-05,4.97957e-05
