epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,469.297,0.92731,1.84006,0.76477,0.76594,0.75722,0.78291,0.65576,0.74676,1.06598,0.72402,0.000194701,0.000194701,0.000194701
2,922.136,0.82155,1.08557,0.74378,0.77728,0.78391,0.82226,0.69359,0.712,0.96314,0.71982,0.000350889,0.000350889,0.000350889
3,1372.41,0.7886,0.96441,0.73705,0.83623,0.83611,0.86863,0.75008,0.6612,0.79193,0.70793,0.00036491,0.00036491,0.00036491
4,1823.35,0.74491,0.85523,0.72724,0.87291,0.84321,0.89398,0.77887,0.62653,0.72918,0.70086,0.000319865,0.000319865,0.000319865
5,2273.27,0.70817,0.77145,0.72057,0.88597,0.85658,0.91275,0.80119,0.61031,0.67068,0.69839,0.00027482,0.00027482,0.00027482
6,2719.19,0.67416,0.70062,0.71455,0.89565,0.88259,0.92363,0.81946,0.57385,0.61483,0.69263,0.000229775,0.000229775,0.000229775
7,3169.13,0.64914,0.6479,0.7099,0.90351,0.87947,0.93036,0.82932,0.55501,0.5906,0.68767,0.00018473,0.00018473,0.00018473
8,3615.63,0.62438,0.59877,0.70466,0.9285,0.89388,0.9467,0.85383,0.5302,0.52898,0.68363,0.000139685,0.000139685,0.000139685
9,4066.78,0.60219,0.5557,0.69928,0.92685,0.89788,0.95002,0.85832,0.51746,0.50633,0.68145,9.464e-05,9.464e-05,9.464e-05
10,4514.4,0.58012,0.51852,0.6959,0.93998,0.91428,0.96111,0.87366,0.50388,0.46414,0.67879,4.9595e-05,4.9595e-05,4.9595e-05
